source_table,source_field,source_value_example,keep_indicator,model_table,model_field_name,comments
r_info,msoa_code,E02000001,Reject,,,
r_info,lsoa_code,E01032739,Reject,,,
r_info,fsm,37,Keep,fact_school,fsm,
r_info,linked_establishments,Does not have links,Keep,dim_school,linked_establishments,Pivot to include record
r_ks2,filename,data-in/ks2/2016-850-ks2.csv,Reject,fact_school,,Add field for year_key equal to most recent fact_school year
r_ks2,RECTYPE,1,Reject,fact_school,,Filter to RECTYPE = 1
r_ks2,ALPHAIND,11522,Reject,,,
r_ks2,LEA,850,Reject,,,
r_ks2,ESTAB,2229,Keep,fact_school,school_key,Combine to form Dfe Number and use to link to dim_school
r_ks2,URN,115976,Reject,,,
r_ks2,SCHNAME,Church Crookham Junior School,Reject,,,
r_ks2,ADDRESS1,Tweseldown Road,Reject,,,
r_ks2,ADDRESS2,Church Crookham,Reject,,,
r_ks2,ADDRESS3,,Reject,,,
r_ks2,TOWN,Fleet,Reject,,,
r_ks2,PCODE,GU52 8BN,Reject,,,
r_ks2,TELNUM,0125 2617664,Reject,,,
r_ks2,URN_AC,0,Reject,,,
r_ks2,SCHNAME_AC,,Reject,,,
r_ks2,OPEN_AC,,Reject,,,
r_ks2,NFTYPE,CY,Reject,,,
r_ks2,ICLOSE,0,Reject,,,
r_ks2,RELDENOM,Does not apply,Reject,,,
r_ks2,AGERANGE,7-11,Reject,,,
r_ks2,CONFEXAM,,Reject,,,
r_ks2,TAB15,0,Reject,,,
r_ks2,TAB1618,0,Reject,,,
r_ks2,TOTPUPS,465,Reject,,,
r_ks2,TPUPYEAR,107,Reject,,,
r_ks2,TELIG,109,Keep,fact_school,ks2_eligible_pupils,
r_ks2,BELIG,48,Keep,fact_school,ks2_eligible_boys,
r_ks2,GELIG,61,Keep,fact_school,ks2_eligible_girls,
r_ks2,PBELIG,44%,Reject,,,
r_ks2,PGELIG,56%,Reject,,,
r_ks2,TKS1AVERAGE,16.7,Reject,,,
r_ks2,TKS1GROUP_L,8,Reject,,,
r_ks2,PTKS1GROUP_L,7%,Reject,,,
r_ks2,TKS1GROUP_M,60,Reject,,,
r_ks2,PTKS1GROUP_M,56%,Reject,,,
r_ks2,TKS1GROUP_H,40,Reject,,,
r_ks2,PTKS1GROUP_H,37%,Reject,,,
r_ks2,TKS1GROUP_NA,1,Reject,,,
r_ks2,PTKS1GROUP_NA,1%,Reject,,,
r_ks2,TFSM6CLA1A,17,Reject,,,
r_ks2,PTFSM6CLA1A,16%,Reject,,,
r_ks2,TNotFSM6CLA1A,92,Reject,,,
r_ks2,PTNotFSM6CLA1A,84%,Reject,,,
r_ks2,TEALGRP2,8,Reject,,,
r_ks2,PTEALGRP2,7%,Reject,,,
r_ks2,TMOBN,98,Reject,,,
r_ks2,PTMOBN,90%,Reject,,,
r_ks2,TSENELSE,4,Reject,,,
r_ks2,PSENELSE,4%,Reject,,,
r_ks2,PTRWM_EXP,72%,Reject,,,
r_ks2,PTRWM_HIGH,17%,Reject,,,
r_ks2,READPROG,1.2,Keep,fact_school,ks2_reading_progress,
r_ks2,READPROG_LOWER,0.0,Reject,,,
r_ks2,READPROG_UPPER,2.4,Reject,,,
r_ks2,READCOV,94%,Reject,,,
r_ks2,WRITPROG,2.3,Keep,fact_school,ks2_writing_progress,
r_ks2,WRITPROG_LOWER,1.2,Reject,,,
r_ks2,WRITPROG_UPPER,3.4,Reject,,,
r_ks2,WRITCOV,99%,Reject,,,
r_ks2,MATPROG,-0.1,Keep,fact_school,ks2_maths_progress,
r_ks2,MATPROG_LOWER,-1.2,Reject,,,
r_ks2,MATPROG_UPPER,1.0,Reject,,,
r_ks2,MATCOV,94%,Reject,,,
r_ks2,PTREAD_EXP,78%,Reject,,,
r_ks2,PTREAD_HIGH,42%,Reject,,,
r_ks2,PTREAD_AT,0%,Reject,,,
r_ks2,READ_AVERAGE,107,Reject,,,
r_ks2,PTGPS_EXP,80%,Reject,,,
r_ks2,PTGPS_HIGH,31%,Reject,,,
r_ks2,PTGPS_AT,0%,Reject,,,
r_ks2,GPS_AVERAGE,106,Reject,,,
r_ks2,PTMAT_EXP,77%,Reject,,,
r_ks2,PTMAT_HIGH,28%,Reject,,,
r_ks2,PTMAT_AT,0%,Reject,,,
r_ks2,MAT_AVERAGE,106,Reject,,,
r_ks2,PTWRITTA_EXP,85%,Reject,,,
r_ks2,PTWRITTA_HIGH,39%,Reject,,,
r_ks2,PTWRITTA_WTS,15%,Reject,,,
r_ks2,PTWRITTA_AD,0%,Reject,,,
r_ks2,PTSCITA_EXP,85%,Reject,,,
r_ks2,PTSCITA_AD,0%,Reject,,,
r_ks2,PTREADTA_EXP,86%,Reject,,,
r_ks2,PTREADTA_AD,0%,Reject,,,
r_ks2,PTMATTA_EXP,82%,Reject,,,
r_ks2,PTMATTA_AD,0%,Reject,,,
r_ks2,PTRWM_EXP_B,71%,Reject,,,
r_ks2,PTRWM_EXP_G,74%,Reject,,,
r_ks2,PTRWM_EXP_L,0%,Reject,,,
r_ks2,PTRWM_EXP_M,63%,Reject,,,
r_ks2,PTRWM_EXP_H,100%,Reject,,,
r_ks2,PTRWM_EXP_FSM6CLA1A,59%,Reject,,,
r_ks2,PTRWM_EXP_NotFSM6CLA1A,75%,Reject,,,
r_ks2,DIFFN_RWM_EXP,-8,Reject,,,
r_ks2,PTRWM_EXP_EAL,63%,Reject,,,
r_ks2,PTRWM_EXP_MOBN,73%,Reject,,,
r_ks2,PTRWM_HIGH_B,15%,Reject,,,
r_ks2,PTRWM_HIGH_G,18%,Reject,,,
r_ks2,PTRWM_HIGH_L,0%,Reject,,,
r_ks2,PTRWM_HIGH_M,3%,Reject,,,
r_ks2,PTRWM_HIGH_H,38%,Reject,,,
r_ks2,PTRWM_HIGH_FSM6CLA1A,6%,Reject,,,
r_ks2,PTRWM_HIGH_NotFSM6CLA1A,18%,Reject,,,
r_ks2,DIFFN_RWM_HIGH,-5,Reject,,,
r_ks2,PTRWM_HIGH_EAL,0%,Reject,,,
r_ks2,PTRWM_HIGH_MOBN,18%,Reject,,,
r_ks2,READPROG_B,1.1,Reject,,,
r_ks2,READPROG_B_LOWER,-0.7,Reject,,,
r_ks2,READPROG_B_UPPER,2.9,Reject,,,
r_ks2,READPROG_G,1.3,Reject,,,
r_ks2,READPROG_G_LOWER,-0.3,Reject,,,
r_ks2,READPROG_G_UPPER,2.9,Reject,,,
r_ks2,READPROG_L,SUPP,Reject,,,
r_ks2,READPROG_L_LOWER,SUPP,Reject,,,
r_ks2,READPROG_L_UPPER,SUPP,Reject,,,
r_ks2,READPROG_M,0.6,Reject,,,
r_ks2,READPROG_M_LOWER,-1.0,Reject,,,
r_ks2,READPROG_M_UPPER,2.2,Reject,,,
r_ks2,READPROG_H,2.3,Reject,,,
r_ks2,READPROG_H_LOWER,0.4,Reject,,,
r_ks2,READPROG_H_UPPER,4.2,Reject,,,
r_ks2,READPROG_FSM6CLA1A,-0.3,Reject,,,
r_ks2,READPROG_FSM6CLA1A_LOWER,-3.3,Reject,,,
r_ks2,READPROG_FSM6CLA1A_UPPER,2.7,Reject,,,
r_ks2,READPROG_NotFSM6CLA1A,1.5,Reject,,,
r_ks2,READPROG_NotFSM6CLA1A_LOWER,0.2,Reject,,,
r_ks2,READPROG_NotFSM6CLA1A_UPPER,2.8,Reject,,,
r_ks2,DIFFN_READPROG,-0.6,Reject,,,
r_ks2,READPROG_EAL,1.0,Reject,,,
r_ks2,READPROG_EAL_LOWER,-3.6,Reject,,,
r_ks2,READPROG_EAL_UPPER,5.6,Reject,,,
r_ks2,READPROG_MOBN,1.5,Reject,,,
r_ks2,READPROG_MOBN_LOWER,0.2,Reject,,,
r_ks2,READPROG_MOBN_UPPER,2.8,Reject,,,
r_ks2,WRITPROG_B,0.9,Reject,,,
r_ks2,WRITPROG_B_LOWER,-0.8,Reject,,,
r_ks2,WRITPROG_B_UPPER,2.6,Reject,,,
r_ks2,WRITPROG_G,3.4,Reject,,,
r_ks2,WRITPROG_G_LOWER,1.9,Reject,,,
r_ks2,WRITPROG_G_UPPER,4.9,Reject,,,
r_ks2,WRITPROG_L,2.6,Reject,,,
r_ks2,WRITPROG_L_LOWER,-1.6,Reject,,,
r_ks2,WRITPROG_L_UPPER,6.8,Reject,,,
r_ks2,WRITPROG_M,1.7,Reject,,,
r_ks2,WRITPROG_M_LOWER,0.2,Reject,,,
r_ks2,WRITPROG_M_UPPER,3.2,Reject,,,
r_ks2,WRITPROG_H,3.1,Reject,,,
r_ks2,WRITPROG_H_LOWER,1.2,Reject,,,
r_ks2,WRITPROG_H_UPPER,5.0,Reject,,,
r_ks2,WRITPROG_FSM6CLA1A,1.7,Reject,,,
r_ks2,WRITPROG_FSM6CLA1A_LOWER,-1.2,Reject,,,
r_ks2,WRITPROG_FSM6CLA1A_UPPER,4.6,Reject,,,
r_ks2,WRITPROG_NotFSM6CLA1A,2.4,Reject,,,
r_ks2,WRITPROG_NotFSM6CLA1A_LOWER,1.2,Reject,,,
r_ks2,WRITPROG_NotFSM6CLA1A_UPPER,3.6,Reject,,,
r_ks2,DIFFN_WRITPROG,1.5,Reject,,,
r_ks2,WRITPROG_EAL,4.3,Reject,,,
r_ks2,WRITPROG_EAL_LOWER,0.1,Reject,,,
