source_table,source_field,source_value_example
r_ks2,MAT_AVERAGE_M,103
r_ks2,MAT_AVERAGE_H,111
r_ks2,MAT_AVERAGE_FSM6CLA1A,103
r_ks2,MAT_AVERAGE_NotFSM6CLA1A,106
r_ks2,MAT_AVERAGE_EAL,102
r_ks2,MAT_AVERAGE_MOBN,106
r_ks2,GPS_AVERAGE_B,105
r_ks2,GPS_AVERAGE_G,107
r_ks2,GPS_AVERAGE_L,94
r_ks2,GPS_AVERAGE_M,104
r_ks2,GPS_AVERAGE_H,111
r_ks2,GPS_AVERAGE_FSM6CLA1A,102
r_ks2,GPS_AVERAGE_NotFSM6CLA1A,107
r_ks2,GPS_AVERAGE_EAL,103
r_ks2,GPS_AVERAGE_MOBN,107
r_ks2,PTREAD_EXP_L,13%
r_ks2,PTREAD_EXP_M,72%
r_ks2,PTREAD_EXP_H,100%
r_ks2,PTREAD_EXP_FSM6CLA1A,59%
r_ks2,PTREAD_EXP_NotFSM6CLA1A,82%
r_ks2,PTGPS_EXP_L,0%
r_ks2,PTGPS_EXP_M,77%
r_ks2,PTGPS_EXP_H,100%
r_ks2,PTGPS_EXP_FSM6CLA1A,65%
r_ks2,PTGPS_EXP_NotFSM6CLA1A,83%
r_ks2,PTMAT_EXP_L,13%
r_ks2,PTMAT_EXP_M,70%
r_ks2,PTMAT_EXP_H,100%
r_ks2,PTMAT_EXP_FSM6CLA1A,71%
r_ks2,PTMAT_EXP_NotFSM6CLA1A,78%
r_ks2,PTWRITTA_EXP_L,13%
r_ks2,PTWRITTA_EXP_M,85%
r_ks2,PTWRITTA_EXP_H,100%
r_ks2,PTWRITTA_EXP_FSM6CLA1A,76%
r_ks2,PTWRITTA_EXP_NotFSM6CLA1A,87%
r_ks2,PTREAD_HIGH_L,0%
r_ks2,PTREAD_HIGH_M,22%
r_ks2,PTREAD_HIGH_H,80%
r_ks2,PTREAD_HIGH_FSM6CLA1A,35%
r_ks2,PTREAD_HIGH_NotFSM6CLA1A,43%
r_ks2,PTGPS_HIGH_L,0%
r_ks2,PTGPS_HIGH_M,17%
r_ks2,PTGPS_HIGH_H,58%
r_ks2,PTGPS_HIGH_FSM6CLA1A,12%
r_ks2,PTGPS_HIGH_NotFSM6CLA1A,35%
r_ks2,PTMAT_HIGH_L,0%
r_ks2,PTMAT_HIGH_M,13%
r_ks2,PTMAT_HIGH_H,55%
r_ks2,PTMAT_HIGH_FSM6CLA1A,12%
r_ks2,PTMAT_HIGH_NotFSM6CLA1A,32%
r_ks2,PTWRITTA_HIGH_L,0%
r_ks2,PTWRITTA_HIGH_M,15%
r_ks2,PTWRITTA_HIGH_H,80%
r_ks2,PTWRITTA_HIGH_FSM6CLA1A,24%
r_ks2,PTWRITTA_HIGH_NotFSM6CLA1A,41%
r_ks2,TEALGRP1,101
r_ks2,PTEALGRP1,93%
r_ks2,TEALGRP3,0
r_ks2,PTEALGRP3,0%
r_ks2,TSENELAPK,11
r_ks2,PSENELSAPK,10%
r_ks2,TSENELE,4
r_ks2,PSENELE,4%
r_ks2,TSENELK,11
r_ks2,PSENELK,10%
r_ks2,TSENELST,0
r_ks2,PSENELST,0%
r_ks2,TSENELSAP,0
r_ks2,PSENELSAP,0%
r_ks2,SENELN,0
r_ks2,PSENELN,0%
r_ks2,PTFSM6CLA1A_16,15%
r_ks2,PTNOTFSM6CLA1A_16,85%
r_ks2,PTRWM_EXP_16,68%
r_ks2,PTRWM_HIGH_16,10%
r_ks2,PTRWM_EXP_FSM6CLA1A_16,43%
r_ks2,PTRWM_EXP_NotFSM6CLA1A_16,72%
r_ks2,PTRWM_HIGH_FSM6CLA1A_16,0%
r_ks2,PTRWM_HIGH_NotFSM6CLA1A_16,11%
r_ks2,READPROG_16,1.6
r_ks2,READPROG_LOWER_16,0.3
r_ks2,READPROG_UPPER_16,2.9
r_ks2,WRITPROG_16,1.2
r_ks2,WRITPROG_LOWER_16,-0.1
r_ks2,WRITPROG_UPPER_16,2.5
r_ks2,MATPROG_16,0.3
r_ks2,MATPROG_LOWER_16,-0.8
r_ks2,MATPROG_UPPER_16,1.4
r_ks2,READ_AVERAGE_16,105
r_ks2,MAT_AVERAGE_16,104
r_ks2,PTFSM6CLA1A_17,
r_ks2,PTNOTFSM6CLA1A_17,
r_ks2,PTRWM_EXP_17,
r_ks2,PTRWM_HIGH_17,
r_ks2,PTRWM_EXP_FSM6CLA1A_17,
r_ks2,PTRWM_HIGH_FSM6CLA1A_17,
r_ks2,PTRWM_EXP_NotFSM6CLA1A_17,
r_ks2,PTRWM_HIGH_NotFSM6CLA1A_17,
r_ks2,READPROG_17,
r_ks2,READPROG_LOWER_17,
r_ks2,READPROG_UPPER_17,
r_ks2,WRITPROG_17,
r_ks2,WRITPROG_LOWER_17,
r_ks2,WRITPROG_UPPER_17,
r_ks2,MATPROG_17,
r_ks2,MATPROG_LOWER_17,
r_ks2,MATPROG_UPPER_17,
r_ks2,READ_AVERAGE_17,
r_ks2,MAT_AVERAGE_17,
r_ks2,TELIG_3YR,
r_ks2,PTRWM_EXP_3YR,
r_ks2,PTRWM_HIGH_3YR,
r_ks2,READ_AVERAGE_3YR,
r_ks2,MAT_AVERAGE_3YR,
r_ks2,READPROG_UNADJUSTED,
r_ks2,WRITPROG_UNADJUSTED,
r_ks2,MATPROG_UNADJUSTED,
r_ks2,READPROG_DESCR_16,
r_ks2,WRITPROG_DESCR_16,
r_ks2,MATPROG_DESCR_16,
r_ks2,READPROG_DESCR_17,
r_ks2,WRITPROG_DESCR_17,
r_ks2,MATPROG_DESCR_17,
r_ks2,READPROG_DESCR,
r_ks2,WRITPROG_DESCR,
r_ks2,MATPROG_DESCR,
r_ks2,PCON_CODE,
r_ks2,PCON_NAME,
r_ks2,TSENELEK,
r_ks2,PSENELEK,
r_ks2,TELIG_18,
r_ks2,PTFSM6CLA1A_18,
r_ks2,PTNOTFSM6CLA1A_18,
r_ks2,PTRWM_EXP_18,
r_ks2,PTRWM_HIGH_18,
r_ks2,PTRWM_EXP_FSM6CLA1A_18,
r_ks2,PTRWM_HIGH_FSM6CLA1A_18,
r_ks2,PTRWM_EXP_NotFSM6CLA1A_18,
r_ks2,PTRWM_HIGH_NotFSM6CLA1A_18,
r_ks2,READPROG_18,
r_ks2,READPROG_LOWER_18,
r_ks2,READPROG_UPPER_18,
r_ks2,WRITPROG_18,
r_ks2,WRITPROG_LOWER_18,
r_ks2,WRITPROG_UPPER_18,
r_ks2,MATPROG_18,
r_ks2,MATPROG_LOWER_18,
r_ks2,MATPROG_UPPER_18,
r_ks2,READ_AVERAGE_18,
r_ks2,MAT_AVERAGE_18,
r_ks2,TELIG_17,
r_ks2,READPROG_DESCR_18,
r_ks2,WRITPROG_DESCR_18,
r_ks2,MATPROG_DESCR_18,
r_nc,filename,data-in/nc/national-curriculum-years.csv
r_nc,nc_key,1
r_nc,nc_year,R
r_nc,nc_year_description,Reception
r_nc,education_phase,Primary
r_nc,education_subphase,Infant
r_nc,key_stage,EYFS
r_nc,statutory_age_min,4
r_nc,statutory_age_max,5
r_year,filename,data-in/year/year.csv
r_year,year_key,2000
r_year,academic_year_start,2000
r_year,academic_year_end,2001
r_year,academic_year_full,2000-2001
r_year,academic_year_short,00-01
r_year,covid_indicator,Pre-Pandemic
