la_key,year_key,nc_key,admission_numbers,applications_received,online_applications,no_of_preferences,first_preference_offers,second_preference_offers,third_preference_offers,preferred_school_offer,non_preferred_offer,no_offer,schools_in_la_offer,schools_in_another_la_offer
107,2020,1,8833,7355,6966,4,6666,383,122,7199,154,2,7265,88
127,2020,1,6489,5569,5428,3,5173,250,41,5464,95,10,5439,120
89,2020,1,9150,7402,7120,3,6930,313,49,7292,109,1,7291,110
108,2020,1,13592,12813,12588,4,10987,1010,316,12426,376,11,12493,309
76,2020,1,7158,6005,5788,6,5577,233,60,5884,110,11,5888,106
109,2020,1,10034,9122,8861,3,8283,532,165,8980,140,2,9013,107
129,2020,8,0,22,22,6,13,4,1,20,2,0,0,22
130,2020,8,1700,1510,1510,6,1103,194,66,1421,73,16,1100,394
152,2020,8,3065,3235,3219,6,2187,448,183,2994,239,2,2450,783
131,2020,8,2521,2382,2357,6,1558,359,184,2237,144,1,2089,292
132,2020,8,1569,1330,1300,6,702,207,121,1166,164,0,1028,302
134,2020,8,1705,1767,1767,6,1153,254,118,1644,123,0,1267,500
135,2020,8,1025,730,718,6,463,108,50,668,28,34,500,196
136,2020,8,2724,2615,2601,6,1564,451,205,2406,209,0,1760,855
137,2020,8,2442,3136,3113,6,1935,529,252,2941,0,195,1862,1079
139,2020,8,3437,2924,2915,6,1909,442,189,2727,197,0,2411,513
140,2020,8,3053,3097,3096,6,2103,460,192,2864,233,0,2797,300
141,2020,8,2273,2396,2271,6,1458,423,185,2220,175,1,1775,620
142,2020,8,1777,1067,1050,6,679,152,77,974,42,51,812,204
144,2020,8,3520,3358,3305,6,2599,387,136,3243,0,115,2776,483
145,2020,8,4857,4300,4296,6,3114,553,210,4056,244,0,3544,756
146,2020,8,3612,2978,2859,6,2328,360,126,2912,64,2,2283,693
147,2020,8,3397,3666,3642,6,2317,539,271,3345,321,0,2613,1053
148,2020,8,4175,3770,3758,6,2734,461,197,3586,184,0,3165,605
149,2020,8,4241,4570,4557,6,2921,709,332,4253,316,1,3417,1152
150,2020,8,3870,4082,3932,6,2758,498,231,3759,322,1,3377,822
151,2020,8,4244,4391,4240,6,3092,585,251,4123,268,0,3629,847
133,2020,8,2830,2643,2605,6,1949,292,136,2487,156,0,2265,378
153,2020,8,2708,2986,2959,6,1928,429,180,2727,259,0,2294,692
154,2020,8,3483,3028,3025,6,2390,290,129,2904,71,53,2727,248
155,2020,8,3709,3436,3362,6,2340,487,199,3243,193,0,3037,399
156,2020,8,3149,3282,3272,6,2192,458,213,3085,197,0,2545,737
157,2020,8,2016,1853,1814,6,1333,228,100,1750,21,82,1480,291
158,2020,8,1881,2242,2186,6,1433,378,152,2112,129,1,1474,777
138,2020,8,4669,4260,4225,6,2710,813,298,4015,244,1,4063,196
159,2020,8,4115,3862,3790,6,2647,539,225,3644,218,0,3553,418
160,2020,8,2078,2144,2117,6,1302,298,171,1935,74,135,1699,310
161,2020,8,3635,2766,2703,6,2050,387,132,2687,79,0,2461,305
162,2020,8,3189,3070,2869,6,2474,332,101,2950,120,0,2718,352
68,2020,8,14704,15504,15327,6,10874,1739,826,14271,535,698,13166,1640
69,2020,8,4295,4209,3524,3,3334,431,178,3944,256,9,4001,199
70,2020,8,3741,3505,3352,6,3054,262,59,3397,107,1,3075,441
71,2020,8,4640,4502,4262,6,3427,481,174,4170,311,21,3915,574
72,2020,8,3371,2454,2423,6,1932,249,99,2374,79,1,2240,213
73,2020,8,3956,3597,3244,5,2822,402,111,3410,176,11,3182,451
74,2020,8,3552,3214,3055,5,2356,373,145,2987,227,0,2926,288
30,2020,8,1280,1705,1191,3,1412,148,61,1621,82,2,1025,689
31,2020,8,5589,4933,4597,5,3337,645,282,4533,399,1,4650,282
32,2020,8,2162,2004,1785,3,1911,53,16,1980,20,4,1824,180
33,2020,8,3364,2822,2502,3,2400,283,52,2735,85,2,2757,110
34,2020,8,3894,3601,3225,3,3229,227,41,3497,104,0,3516,134
20,2020,8,4329,3966,3948,3,3203,434,150,3787,179,0,3850,116
