year_of_entry,la_name,school_phase,measure,count
2021,Slough,Primary,Admission Numbers,2445
2021,Slough,Primary,Applications Received,2239
2021,Wokingham,Primary,Admission Numbers,2395
2021,Wokingham,Primary,Applications Received,1980
2021,Cambridgeshire,Primary,Admission Numbers,8328
2021,Cambridgeshire,Primary,Applications Received,6348
2021,Peterborough,Primary,Admission Numbers,3333
2021,Peterborough,Primary,Applications Received,2591
2021,Halton,Primary,Admission Numbers,1689
2021,Halton,Primary,Applications Received,1364
2021,Warrington,Primary,Admission Numbers,2705
2021,Warrington,Primary,Applications Received,2202
2021,Devon,Primary,Admission Numbers,9350
2021,Devon,Primary,Applications Received,7055
2021,Plymouth,Primary,Admission Numbers,3352
2021,Plymouth,Primary,Applications Received,2601
2021,Torbay,Primary,Admission Numbers,1487
2021,Torbay,Primary,Applications Received,1146
2021,Essex,Primary,Admission Numbers,19243
2021,Essex,Primary,Applications Received,15779
2021,Southend-on-Sea,Primary,Admission Numbers,2132
2021,Southend-on-Sea,Primary,Applications Received,2046
2021,Thurrock,Primary,Admission Numbers,2580
2021,Thurrock,Primary,Applications Received,2337
2021,Herefordshire,Primary,Admission Numbers,2249
2021,Herefordshire,Primary,Applications Received,1707
2021,Worcestershire,Primary,Admission Numbers,7054
2021,Worcestershire,Primary,Applications Received,5958
2021,Kent,Primary,Admission Numbers,19722
2021,Kent,Primary,Applications Received,17095
2021,Medway,Primary,Admission Numbers,3881
2021,Medway,Primary,Applications Received,3296
2021,Lancashire,Primary,Admission Numbers,15718
2021,Lancashire,Primary,Applications Received,12762
2021,Blackburn with Darwen,Primary,Admission Numbers,2350
2021,Blackburn with Darwen,Primary,Applications Received,1829
2021,Blackpool,Primary,Admission Numbers,1898
2021,Blackpool,Primary,Applications Received,1438
2021,Nottinghamshire,Primary,Admission Numbers,10582
2021,Nottinghamshire,Primary,Applications Received,8682
2021,Nottingham,Primary,Admission Numbers,4112
2021,Nottingham,Primary,Applications Received,3252
2021,Shropshire,Primary,Admission Numbers,3359
2021,Shropshire,Primary,Applications Received,2802
2021,Telford and Wrekin,Primary,Admission Numbers,2488
2021,Telford and Wrekin,Primary,Applications Received,1951
2021,Cheshire East,Primary,Admission Numbers,4649
2021,Cheshire East,Primary,Applications Received,3887
2021,Cheshire West and Chester,Primary,Admission Numbers,4421
2021,Cheshire West and Chester,Primary,Applications Received,3457
2021,Cornwall,Primary,Admission Numbers,6783
2021,Cornwall,Primary,Applications Received,5087
2021,Cumbria,Primary,Admission Numbers,6311
2021,Cumbria,Primary,Applications Received,4354
2021,Gloucestershire,Primary,Admission Numbers,8084
2021,Gloucestershire,Primary,Applications Received,6515
2021,Hertfordshire,Primary,Admission Numbers,15393
2021,Hertfordshire,Primary,Applications Received,13503
2021,Isle of Wight,Primary,Admission Numbers,1419
2021,Isle of Wight,Primary,Applications Received,1128
2021,Lincolnshire,Primary,Admission Numbers,9081
2021,Lincolnshire,Primary,Applications Received,7029
2021,Norfolk,Primary,Admission Numbers,10387
2021,Norfolk,Primary,Applications Received,8585
2021,Northamptonshire,Primary,Admission Numbers,10586
2021,Northamptonshire,Primary,Applications Received,8296
2021,Northumberland,Primary,Admission Numbers,3950
2021,Northumberland,Primary,Applications Received,2558
2021,Oxfordshire,Primary,Admission Numbers,8874
2021,Oxfordshire,Primary,Applications Received,6867
2021,Somerset,Primary,Admission Numbers,6491
2021,Somerset,Primary,Applications Received,5268
2021,Suffolk,Primary,Admission Numbers,9199
2021,Suffolk,Primary,Applications Received,7011
2021,Surrey,Primary,Admission Numbers,13453
2021,Surrey,Primary,Applications Received,12208
2021,Warwickshire,Primary,Admission Numbers,7196
