year_of_entry,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,school_phase,nc_year_admission,admission_numbers,applications_received,online_applications,online_apps_percent,no_of_preferences,first_preference_offers,first_preference_offers_percent,second_preference_offers,second_preference_offers_percent,third_preference_offers,third_preference_offers_percent,one_of_the_three_preference_offers,one_of_the_three_preference_offers_percent,preferred_school_offer,preferred_school_offer_percent,non_preferred_offer,non_preferred_offer_percent,no_offer,no_offer_percent,schools_in_la_offer,schools_in_la_offer_percent,schools_in_another_la_offer,schools_in_another_la_offer_percent,offers_to_nonapplicants
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000003,302,Barnet,Primary,R,4434,4047,4039,0.9980232271,6,3355,0.8290091425999999,308,0.07610575735,116,0.02866320731,3779,0.9337781072,3883,0.9594761552,156,0.03854707191,8,0.00197677292,3691,0.9138400593999999,348,0.08615994058,0
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000004,303,Bexley,Primary,R,3371,2812,2716,0.9658605974,6,2612,0.9288762447000001,135,0.04800853485,31,0.01102418208,2778,0.9879089616000001,2792,0.9928876244999999,20,0.00711237553,0,0,2633,0.936344239,179,0.06365576102,0
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000005,304,Brent,Primary,R,4091,3444,3405,0.9886759582000001,6,2871,0.8336236934,316,0.09175377468000001,92,0.026713124270000003,3279,0.9520905922999999,3337,0.968931475,107,0.03106852497,0,0,3006,0.8728222997,438,0.1271777003,0
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000006,305,Bromley,Primary,R,4219,3725,3683,0.9887248322000001,6,3290,0.8832214765,243,0.06523489933,88,0.02362416107,3621,0.9720805369,3682,0.9884563758,43,0.011543624159999998,0,0,3590,0.9637583893,135,0.03624161074,0
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000008,306,Croydon,Primary,R,5475,4472,4467,0.9988819320000001,6,3817,0.8535330948,389,0.08698568873,110,0.02459749553,4316,0.9651162791,4399,0.9836762075,73,0.01632379249,0,0,4078,0.9118962433,394,0.08810375671,0
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000009,307,Ealing,Primary,R,4440,3614,3535,0.9781405645,6,3227,0.8929164360999999,210,0.05810736027,64,0.0177089098,3501,0.9687327061000001,3557,0.9842280022,55,0.015218594359999999,2,5.5340343e-4,3364,0.9308245711,250,0.06917542889,2
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000010,308,Enfield,Primary,R,4563,3760,3627,0.9646276596,6,3334,0.8867021277,245,0.06515957447,77,0.0204787234,3656,0.9723404255,3709,0.9864361702,51,0.013563829789999999,0,0,3504,0.9319148936,256,0.06808510638,0
2021,Academic year,Local authority,E92000001,England,E13000001,Inner London,E09000014,309,Haringey,Primary,R,3206,2462,2323,0.9435418359000001,6,2208,0.896831844,160,0.06498781478,49,0.01990251828,2417,0.9817221771,2435,0.9890333063,27,0.01096669374,0,0,2303,0.9354183591,159,0.06458164094,0
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000015,310,Harrow,Primary,R,3300,2864,2834,0.9895251397,6,2484,0.8673184358,214,0.07472067039,71,0.02479050279,2769,0.9668296089,2819,0.9842877095,45,0.0157122905,0,0,2658,0.9280726257,206,0.0719273743,0
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000016,311,Havering,Primary,R,3580,3179,3176,0.999056307,6,2874,0.9040578798,195,0.06134004404,45,0.014155394779999999,3114,0.9795533187,3134,0.9858446052,45,0.014155394779999999,0,0,3097,0.961204221,125,0.03879577902,43
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000017,312,Hillingdon,Primary,R,4537,3662,3589,0.9800655380000001,6,3439,0.9391043146,153,0.04178044784,27,0.00737302021,3619,0.9882577826000001,3638,0.9934462043000001,24,0.00655379574,0,0,3437,0.9385581649,225,0.06144183506,0
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000018,313,Hounslow,Primary,R,3432,3165,3145,0.9936808847,6,2758,0.8714060032000001,270,0.08530805687000001,54,0.01706161137,3082,0.9737756714,3120,0.9857819904999999,45,0.01421800948,0,0,2826,0.8928909953,339,0.10710900470000001,0
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000021,314,Kingston upon Thames,Primary,R,1947,1870,1837,0.9823529412,6,1570,0.8395721924999999,139,0.07433155079999999,65,0.03475935829,1774,0.9486631016,1807,0.9663101604000001,61,0.03262032086,2,0.00106951872,1784,0.9499467519,94,0.05005324814,10
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000024,315,Merton,Primary,R,2489,2295,2243,0.9773420479000001,6,1893,0.8248366013,140,0.06100217865,64,0.02788671024,2097,0.9137254901999999,2180,0.9498910675000001,115,0.050108932460000005,0,0,2032,0.8854030501,263,0.1145969499,0
2021,Academic year,Local authority,E92000001,England,E13000001,Inner London,E09000025,316,Newham,Primary,R,5495,4105,4073,0.9922046285,6,3821,0.930816078,193,0.04701583435,33,0.00803897686,4047,0.9858708892,4060,0.9890377588,45,0.01096224117,0,0,3979,0.9693057247,126,0.03069427527,0
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000026,317,Redbridge,Primary,R,4463,3623,3612,0.9969638421,6,3172,0.8755175269,258,0.07121170301,73,0.020149047750000003,3503,0.9668782777,3557,0.9817830527,65,0.01794093293,1,2.7601435e-4,3469,0.9577581447,153,0.04224185533,0
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000027,318,Richmond upon Thames,Primary,R,2456,2050,2018,0.9843902439,6,1881,0.9175609756,126,0.06146341463,27,0.013170731710000001,2034,0.9921951219999999,2042,0.996097561,7,0.00341463415,1,4.8780487999999995e-4,1999,0.9755978526,50,0.02440214739,0
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000029,319,Sutton,Primary,R,2570,2560,2499,0.976171875,6,2207,0.862109375,180,0.0703125,53,0.020703125,2440,0.953125,2493,0.973828125,67,0.026171875,0,0,2301,0.898828125,259,0.101171875,0
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000031,320,Waltham Forest,Primary,R,3836,3192,3117,0.9765037594,6,2839,0.8894110276,186,0.058270676689999995,59,0.01848370927,3084,0.9661654135000001,3118,0.9768170426,74,0.023182957389999998,0,0,3090,0.9680451128,102,0.03195488722,0
2021,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000025,330,Birmingham,Primary,R,16530,13084,12988,0.9926627942999999,3,12015,0.9182971568,693,0.05296545399,182,0.01391011923,12890,0.9851727301,12890,0.9851727301,116,0.00886579028,78,0.0059614796699999995,12478,0.9594033523000001,528,0.0405966477,0
2021,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000026,331,Coventry,Primary,R,4620,3685,3138,0.8515603799,3,3517,0.9544097693000001,130,0.03527815468,18,0.00488466757,3665,0.9945725916000001,3665,0.9945725916000001,19,0.00515603799,1,2.7137042e-4,3606,0.9788273616,78,0.02117263844,0
2021,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000027,332,Dudley,Primary,R,4031,3517,3263,0.9277793574000001,5,3211,0.912994029,197,0.056013648,47,0.01336366221,3455,0.9823713392000001,3463,0.9846460051,52,0.014785328399999999,2,5.6866648e-4,3346,0.9497587284,177,0.05024127164,8
2021,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000028,333,Sandwell,Primary,R,5040,3945,3738,0.9475285171,6,3666,0.9292775665,160,0.04055766793,33,0.00836501901,3859,0.9782002535,3866,0.9799746515,76,0.01926489227,3,7.604562700000001e-4,3717,0.9429223743999999,225,0.05707762557,0
2021,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000029,334,Solihull,Primary,R,2829,2311,2267,0.9809606231,5,2098,0.9078321073,141,0.06101254868,21,0.00908697534,2260,0.9779316312999999,2273,0.9835569018,37,0.01601038511,1,4.3271311e-4,2218,0.9597576807,93,0.040242319340000006,1
2021,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000030,335,Walsall,Primary,R,3997,3521,3428,0.9735870491,3,3217,0.9136608918,158,0.044873615449999994,49,0.01391650099,3424,0.9724510082000001,3424,0.9724510082000001,91,0.025844930420000002,6,0.0017040613499999999,3348,0.9524893314,167,0.04751066856,0
2021,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000031,336,Wolverhampton,Primary,R,3690,3226,3125,0.9686918785,5,2875,0.8911965282,199,0.061686298820000006,53,0.01642901426,3127,0.9693118413,3143,0.9742715437,83,0.02572845629,0,0,3075,0.9531928084000001,151,0.046807191570000004,0
2021,Academic year,Local authority,E92000001,England,E12000002,North West,E08000011,340,Knowsley,Primary,R,2127,1958,1899,0.9698672114,3,1721,0.8789581205,134,0.0684371808,30,0.01532175689,1885,0.9627170582,1885,0.9627170582,71,0.03626149132,2,0.00102145046,1675,0.8563394683,281,0.1436605317,0
2021,Academic year,Local authority,E92000001,England,E12000002,North West,E08000012,341,Liverpool,Primary,R,6006,5290,4638,0.8767485822000001,3,4524,0.8551984877,431,0.08147448015,99,0.018714555770000002,5054,0.9553875236,5054,0.9553875236,218,0.04120982987,18,0.0034026465000000002,5099,0.967185129,173,0.03281487102,0
2021,Academic year,Local authority,E92000001,England,E12000002,North West,E08000013,342,St. Helens,Primary,R,2260,1957,1772,0.9054675524,3,1801,0.9202861523,74,0.03781297905,27,0.01379662749,1902,0.9718957588000001,1902,0.9718957588000001,49,0.02503832397,6,0.00306591722,1895,0.9712967709,56,0.028703229110000002,0
2021,Academic year,Local authority,E92000001,England,E12000002,North West,E08000014,343,Sefton,Primary,R,3200,2713,2497,0.9203833395,3,2507,0.924069296,127,0.04681164762,37,0.013638039070000002,2671,0.9845189827,2671,0.9845189827,42,0.015481017319999998,0,0,2649,0.9764098783999999,64,0.023590121640000003,0
2021,Academic year,Local authority,E92000001,England,E12000002,North West,E08000015,344,Wirral,Primary,R,4053,3347,3211,0.959366597,3,3126,0.9339707199999999,135,0.04033462803,24,0.00717060054,3285,0.9814759486,3285,0.9814759486,62,0.01852405139,0,0,3406,0.9982415005999999,6,0.00175849941,65
2021,Academic year,Local authority,E92000001,England,E12000002,North West,E08000001,350,Bolton,Primary,R,4150,3562,3358,0.942728804,3,3161,0.8874227962000001,250,0.07018528916,66,0.01852891634,3477,0.9761370017000001,3477,0.9761370017000001,85,0.023862998320000002,0,0,3505,0.9839977541,57,0.016002245930000002,0
2021,Academic year,Local authority,E92000001,England,E12000002,North West,E08000002,351,Bury,Primary,R,2536,1941,1716,0.8840803708999999,3,1828,0.9417825863,76,0.0391550747,12,0.00618238022,1916,0.9871200412000001,1916,0.9871200412000001,17,0.00875837197,8,0.00412158681,1811,0.9359173127,124,0.06408268734,2
2021,Academic year,Local authority,E92000001,England,E12000002,North West,E08000003,352,Manchester,Primary,R,7635,6227,4749,0.7626465392999999,6,5897,0.9470049783000001,199,0.03195760398,45,0.00722659387,6141,0.9861891762,6152,0.9879556769,69,0.01108077726,6,9.635458500000001e-4,5872,0.9438996946,349,0.056100305419999996,0
2021,Academic year,Local authority,E92000001,England,E12000002,North West,E08000004,353,Oldham,Primary,R,3967,2844,2841,0.9989451477,6,2666,0.9374120956,114,0.04008438819,16,0.00562587904,2796,0.9831223629,2799,0.9841772152,44,0.01547116737,1,3.5161744e-4,2844,0.984083045,46,0.01591695502,47
2021,Academic year,Local authority,E92000001,England,E12000002,North West,E08000005,354,Rochdale,Primary,R,3258,2852,2834,0.9936886396,4,2593,0.9091865358,172,0.0603085554,38,0.01332398317,2803,0.9828190743,2814,0.98667601680000006,38,0.01332398317,0,0,2763,0.9687938289,89,0.03120617111,0
2021,Academic year,Local authority,E92000001,England,E12000002,North West,E08000006,355,Salford,Primary,R,3396,2803,2647,0.9443453443,6,2563,0.9143774526999999,121,0.04316803425,33,0.01177310025,2717,0.9693185872,2727,0.9728861933999999,69,0.024616482340000002,7,0.0024973243,2736,0.9726270884999999,77,0.02737291148,17
2021,Academic year,Local authority,E92000001,England,E12000002,North West,E08000007,356,Stockport,Primary,R,3897,3226,3189,0.9885306882,6,2916,0.9039057656999999,172,0.053316800989999996,33,0.01022938624,3121,0.9674519529,3140,0.9733415995,81,0.025108493489999998,5,0.00154990701,3175,0.9857187209,46,0.01428127911,0
2021,Academic year,Local authority,E92000001,England,E12000002,North West,E08000008,357,Tameside,Primary,R,3145,2562,2546,0.9937548789999999,6,2431,0.9488680718000001,82,0.03200624512,8,0.0031225605,2521,0.9839968774000001,2524,0.9851678375999999,38,0.014832162369999999,0,0,2498,0.975019516,64,0.024980484,0
2021,Academic year,Local authority,E92000001,England,E12000002,North West,E08000009,358,Trafford,Primary,R,3154,2747,2711,0.9868947943,5,2566,0.9341099381,112,0.040771750999999995,28,0.010192937749999999,2706,0.9850746268999999,2726,0.9923552967,21,0.00764470331,0,0,2661,0.9686931198000001,86,0.03130688023,0
2021,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,359,Wigan,Primary,R,3974,3545,3343,0.9430183357,3,3246,0.9156558533000001,173,0.04880112835,32,0.00902679831,3451,0.97348378,3451,0.97348378,90,0.02538787024,4,0.00112834979,3416,0.9646992375000001,125,0.0353007625,0
2021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000016,370,Barnsley,Primary,R,3016,2553,2507,0.981981982,3,2393,0.937328633,108,0.04230317274,12,0.00470035253,2513,0.9843321582,2513,0.9843321582,39,0.01527614571,1,3.9169604e-4,2512,0.9843260188,40,0.01567398119,0
2021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,371,Doncaster,Primary,R,4310,2901,2879,0.9924164081000001,3,2818,0.9713891761,45,0.01551189245,2,6.8941744e-4,2865,0.987590486,2865,0.987590486,36,0.01240951396,0,0,2880,0.9927611168999999,21,0.00723888314,0
2021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000018,372,Rotherham,Primary,R,3760,2920,2582,0.8842465753000001,3,2763,0.9462328767,100,0.03424657534,15,0.0051369863,2878,0.9856164384,2878,0.9856164384,42,0.01438356164,0,0,2875,0.9845890411,45,0.0154109589,0
2021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,373,Sheffield,Primary,R,6926,5825,4293,0.7369957082,3,5393,0.9258369098999999,266,0.04566523605,54,0.00927038627,5713,0.9807725322,5713,0.9807725322,112,0.01922746781,0,0,5749,0.9869527897,76,0.0130472103,0
2021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000032,380,Bradford,Primary,R,8207,7019,6361,0.9062544522,5,6363,0.9065393931,372,0.05299900271,102,0.01453198461,6837,0.9740703804,6897,0.9826186066,122,0.01738139336,0,0,6829,0.9729306169,190,0.0270693831,0
2021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000033,381,Calderdale,Primary,R,3001,2163,2151,0.9944521498000001,5,2069,0.95654184,60,0.02773925104,6,0.0027739250999999996,2135,0.9870550162,2135,0.9870550162,28,0.01294498382,0,0,2146,0.9916820702,18,0.00831792976,1
2021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,382,Kirklees,Primary,R,5952,4879,4846,0.9932363189,3,4511,0.9245747079000001,254,0.05205984833,64,0.013117442100000001,4829,0.9897519984,4829,0.9897519984,50,0.010248001639999999,0,0,4756,0.9733933688,130,0.02660663119,7
2021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,383,Leeds,Primary,R,10695,9227,8432,0.9138398179,5,8235,0.8924894332,563,0.06101658177,181,0.01961634334,8979,0.9731223583,9075,0.9835266067,152,0.0164733933,0,0,9141,0.9904648391,88,0.00953516091,2
2021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000036,384,Wakefield,Primary,R,4486,3750,3645,0.972,5,3538,0.9434666667,140,0.03733333333,10,0.00266666667,3688,0.9834666667,3691,0.9842666667000001,59,0.015733333329999998,0,0,3708,0.9817315329999999,69,0.01826846704,27
2021,Academic year,Local authority,E92000001,England,E12000001,North East,E08000020,390,Gateshead,Primary,R,2523,1937,1756,0.9065565307,3,1824,0.9416623645,65,0.03355704698,15,0.00774393392,1904,0.9829633454000001,1904,0.9829633454000001,33,0.01703665462,0,0,1936,0.9867482161,26,0.01325178389,25
2021,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Primary,R,3402,2875,2529,0.8796521739000001,4,2537,0.8824347826000001,154,0.053565217389999996,70,0.02434782609,2761,0.9603478260999999,2788,0.9697391304,87,0.03026086957,0,0,2769,0.9631304348,106,0.03686956522,0
2021,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Primary,R,2588,2101,2015,0.9590671109,3,1991,0.9476439791,59,0.02808186578,12,0.00571156592,2062,0.9814374108,2063,0.9819133745999999,27,0.012851023319999998,11,0.00523560209,2024,0.967032967,69,0.032967032970000004,3
2021,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Primary,R,1822,1485,1429,0.9622895623,3,1408,0.9481481481,49,0.032996633000000004,5,0.00336700337,1462,0.9845117845,1462,0.9845117845,18,0.01212121212,5,0.00336700337,1465,0.9858681023,21,0.01413189771,6
2021,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Primary,R,3471,2835,2687,0.9477954144999999,3,2667,0.9407407406999999,108,0.0380952381,16,0.00564373898,2791,0.9844797178,2791,0.9844797178,0,0,44,0.015520282190000002,2750,0.9853099247999999,41,0.01469007524,0
2021,Academic year,Local authority,E92000001,England,E12000009,South West,E06000022,800,Bath and North East Somerset,Primary,R,2258,1690,1662,0.9834319527,3,1570,0.9289940828000001,86,0.05088757396,13,0.00769230769,1669,0.9875739645,1669,0.9875739645,21,0.012426035499999998,0,0,1641,0.9710059172,49,0.02899408284,0
2021,Academic year,Local authority,E92000001,England,E12000009,South West,E06000023,801,"Bristol, City of",Primary,R,6256,5000,4836,0.9672,3,4470,0.894,333,0.0666,110,0.022000000000000002,4913,0.9826,4913,0.9826,87,0.0174,0,0,4844,0.9688,156,0.031200000000000002,0
2021,Academic year,Local authority,E92000001,England,E12000009,South West,E06000024,802,North Somerset,Primary,R,2657,2122,2024,0.9538171536,3,2035,0.9590009424999999,65,0.030631479740000002,3,0.0014137606,2103,0.9910461828,2103,0.9910461828,19,0.00895381715,0,0,2090,0.9849198869,32,0.0150801131,0
2021,Academic year,Local authority,E92000001,England,E12000009,South West,E06000025,803,South Gloucestershire,Primary,R,3701,3064,2954,0.9640992167,3,2766,0.9027415144,214,0.06984334203999999,35,0.0114229765,3015,0.9840078329,3015,0.9840078329,47,0.01533942559,2,6.5274151e-4,2970,0.9699542782,92,0.030045721749999997,0
2021,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Primary,R,1280,996,895,0.8985943774999999,3,981,0.984939759,13,0.01305220884,0,0,994,0.9979919679,994,0.9979919679,2,0.0020080321300000002,0,0,977,0.9809236948,19,0.01907630522,0
2021,Academic year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Primary,R,2086,1807,1588,0.8788046486000001,3,1713,0.9479800775,55,0.030437188709999997,10,0.00553403431,1778,0.9839513005,1778,0.9839513005,26,0.014388489209999999,3,0.0016602102899999998,1794,0.9614147909999999,72,0.038585208999999995,62
2021,Academic year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Primary,R,1817,1447,1311,0.9060124395,3,1426,0.9854872149,11,0.00760193504,0,0,1437,0.99308915,1437,0.99308915,9,0.006219765029999999,1,6.91085e-4,1454,0.9791245791000001,31,0.020875420880000002,39
2021,Academic year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Primary,R,2798,2081,1968,0.9456991831,3,2020,0.9706871696,38,0.01826045171,3,0.0014416146099999999,2061,0.9903892358999999,2061,0.9903892358999999,20,0.00961076406,0,0,2107,0.9896665101000001,22,0.0103334899,48
2021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,810,"Kingston Upon Hull, City of",Primary,R,3645,3054,2526,0.8271119843,3,2874,0.9410609037000001,112,0.03667321546,19,0.00622134905,3005,0.9839554682,3005,0.9839554682,47,0.015389652910000001,2,6.5487885e-4,2905,0.9518348623999999,147,0.048165137610000006,0
2021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000011,811,East Riding of Yorkshire,Primary,R,4010,2899,2691,0.9282511211000001,3,2827,0.9751638495999999,45,0.015522594,12,0.0041393584,2884,0.994825802,2884,0.994825802,15,0.005174198,0,0,2867,0.9889617109,32,0.01103828907,0
2021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,812,North East Lincolnshire,Primary,R,2164,1597,1137,0.7119599248999999,3,1522,0.9530369443,47,0.029430181590000003,16,0.01001878522,1585,0.9924859111000001,1585,0.9924859111000001,12,0.00751408892,0,0,1585,0.9924859111000001,12,0.00751408892,0
2021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,813,North Lincolnshire,Primary,R,2151,1663,1455,0.8749248346,6,1624,0.9765484065,24,0.01443174985,0,0,1648,0.9909801563,1648,0.9909801563,15,0.00901984366,0,0,1644,0.9879807692,20,0.01201923077,1
2021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E10000023,815,North Yorkshire,Primary,R,7361,5376,5229,0.97265625,5,5109,0.9503348214,155,0.028831845239999997,27,0.00502232143,5291,0.9841889881,5294,0.9847470238,62,0.0115327381,20,0.0037202381000000003,5268,0.9828358209,92,0.0171641791,4
2021,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000014,816,York,Primary,R,2115,1751,1699,0.9703026842,5,1672,0.9548829240000001,53,0.030268418050000002,14,0.00799543118,1739,0.9931467732999999,1742,0.99486008,9,0.00513992005,0,0,1727,0.9862935465,24,0.01370645346,0
2021,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000032,821,Luton,Primary,R,3582,2983,2683,0.8994301039,3,2839,0.9517264499,114,0.038216560510000004,11,0.0036875628599999997,2964,0.9936305731999999,2964,0.9936305731999999,19,0.0063694267500000006,0,0,2870,0.9621186724999999,113,0.03788132752,0
2021,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000055,822,Bedford,Primary,R,2620,2078,1863,0.8965351299,4,1922,0.9249278151999999,107,0.05149181906,26,0.0125120308,2055,0.9889316651,2063,0.9927815207,5,0.00240615977,10,0.00481231954,2024,0.9787234042999999,44,0.02127659574,0
