year_key,la_key,school_key,nc_key,criterion_key,criterion_priority,criterion_offers
2018,108,15159,1,44,7,0
2018,108,15159,1,2,8,1
2018,108,16619,1,47,1,0
2018,108,16619,1,46,2,0
2018,108,16619,1,37,3,17
2018,108,16619,1,6,4,13
2018,108,16619,1,21,5,0
2018,108,16619,1,1,6,0
2018,108,16619,1,44,7,0
2018,108,16619,1,2,8,0
2018,108,9424,1,47,1,0
2018,108,9424,1,46,2,0
2018,108,9424,1,37,3,11
2018,108,9424,1,6,4,37
2018,108,9424,1,21,5,12
2018,108,9424,1,1,6,0
2018,108,9424,1,44,7,0
2018,108,9424,1,2,8,0
2018,108,9437,1,47,1,0
2018,108,9437,1,46,2,0
2018,108,9437,1,37,3,9
2018,108,9437,1,6,4,31
2018,108,9437,1,21,5,20
2018,108,9437,1,1,6,0
2018,108,9437,1,44,7,0
2018,108,9437,1,2,8,0
2018,108,9550,1,47,1,0
2018,108,9550,1,46,2,1
2018,108,9550,1,37,3,19
2018,108,9550,1,21,4,40
2018,108,9550,1,1,5,0
2018,108,9550,1,44,6,0
2018,108,9550,1,2,7,0
2018,108,17760,1,47,1,1
2018,108,17760,1,46,2,0
2018,108,17760,1,37,3,26
2018,108,17760,1,34,4,7
2018,108,17760,1,21,5,22
2018,108,17760,1,1,6,0
2018,108,17760,1,44,7,0
2018,108,17760,1,2,8,0
2018,108,9410,1,47,1,1
2018,108,9410,1,46,2,0
2018,108,9410,1,37,3,20
2018,108,9410,1,6,4,28
2018,108,9410,1,21,5,4
2018,108,9410,1,1,6,1
2018,108,9410,1,44,7,0
2018,108,9410,1,2,8,3
2018,108,11557,1,47,1,1
2018,108,11557,1,46,2,0
2018,108,11557,1,25,3,0
2018,108,11557,1,37,4,40
2018,108,11557,1,21,5,49
2018,108,11557,1,1,6,0
2018,108,11557,1,44,7,0
2018,108,11557,1,2,8,0
2018,108,17091,1,47,1,0
2018,108,17091,1,46,2,0
2018,108,17091,1,37,3,3
2018,13,,,90,4,0
2018,37,,,90,4,0
2018,53,,,90,4,0
2018,63,,,90,4,0
2018,78,,,90,4,0
2018,90,,,90,4,0
2018,110,,,90,4,0
2018,128,,,90,4,0
2018,143,,,90,4,0
2018,163,,,90,4,0
2018,164,,,90,4,0
2018,108,17091,1,21,5,10
2018,108,17091,1,1,6,0
2018,108,17091,1,44,7,0
2018,108,17091,1,2,8,0
2018,108,9535,1,47,1,0
2018,108,9535,1,46,2,0
2018,108,9535,1,37,3,32
2018,108,9535,1,74,4,0
2018,108,9535,1,25,5,0
2018,108,9535,1,21,6,28
2018,108,9535,1,1,7,0
2018,108,9535,1,44,8,0
2018,108,9535,1,2,9,0
2018,108,18714,1,43,1,0
2018,108,18714,1,60,2,9
2018,108,18714,1,57,3,0
2018,108,18714,1,51,4,4
2018,108,18714,1,56,5,0
2018,108,18714,1,47,6,0
2018,108,18714,1,50,7,2
2018,108,18714,1,37,8,2
2018,108,18714,1,66,9,4
2018,108,18714,1,68,10,0
2018,108,18714,1,21,11,2
2018,108,18714,1,1,12,0
2018,108,18714,1,44,13,0
2018,108,18714,1,2,14,0
2018,108,19896,1,43,1,0
2018,108,19896,1,42,2,0
2018,108,19896,1,61,3,8
2018,108,19896,1,58,4,0
2018,108,19896,1,52,5,14
2018,108,19896,1,55,6,0
2018,108,19896,1,63,7,6
2018,108,19896,1,47,8,0
2018,108,19896,1,46,9,0
2018,108,19896,1,50,10,0
2018,108,19896,1,37,11,0
2018,108,19896,1,21,12,2
2018,108,19896,1,1,13,0
2018,108,19896,1,44,14,0
2018,108,19896,1,2,15,0
2018,108,9493,1,47,1,1
2018,108,9493,1,46,2,0
