lea,urn,estab,dfe_number,laestab,schname,admin_district,academic_year,estab_type,education_phase,relchar,percentage_fsm,ofsted_rating,totpups,readprog,writprog,matprog
850,115877,2041,850/2041,8502041,Cliddesden Primary School,Basingstoke and Deane,2017-2018,Local authority maintained schools,Primary,Does not apply,10.4,Good,109,3.7,1.3,0
850,115877,2041,850/2041,8502041,Cliddesden Primary School,Basingstoke and Deane,2018-2019,Local authority maintained schools,Primary,Does not apply,10.4,Good,113,3.5,1,-0.2
850,115878,2046,850/2046,8502046,Crondall Primary School,Hart,2016-2017,Local authority maintained schools,Primary,Does not apply,9.4,Good,193,0.4,0,-2.6
850,115878,2046,850/2046,8502046,Crondall Primary School,Hart,2017-2018,Local authority maintained schools,Primary,Does not apply,9.4,Good,197,-0.2,-1.2,-2.5
850,115878,2046,850/2046,8502046,Crondall Primary School,Hart,2018-2019,Local authority maintained schools,Primary,Does not apply,9.4,Good,182,-0.2,-1.7,-0.6
850,115879,2047,850/2047,8502047,Curdridge Primary School,Winchester,2016-2017,Local authority maintained schools,Primary,Does not apply,14.4,Good,98,-1.3,0.4,-2.6
850,115879,2047,850/2047,8502047,Curdridge Primary School,Winchester,2017-2018,Local authority maintained schools,Primary,Does not apply,14.4,Good,104,-4.3,0.9,-3.3
850,115879,2047,850/2047,8502047,Curdridge Primary School,Winchester,2018-2019,Local authority maintained schools,Primary,Does not apply,14.4,Good,106,-3.6,-4,-1.8
850,115880,2049,850/2049,8502049,Crofton Anne Dale Junior School,Fareham,2016-2017,Local authority maintained schools,Primary,Does not apply,8.3,Good,383,-2.1,-2.7,-2.6
850,115880,2049,850/2049,8502049,Crofton Anne Dale Junior School,Fareham,2017-2018,Local authority maintained schools,Primary,Does not apply,8.3,Good,379,-0.6,-0.8,-1.9
850,115880,2049,850/2049,8502049,Crofton Anne Dale Junior School,Fareham,2018-2019,Local authority maintained schools,Primary,Does not apply,8.3,Good,381,-2.5,-1.2,-1.4
850,115881,2053,850/2053,8502053,Droxford Junior School,Winchester,2016-2017,Local authority maintained schools,Primary,Does not apply,4.9,Outstanding,176,2.4,0.9,1.2
850,115881,2053,850/2053,8502053,Droxford Junior School,Winchester,2017-2018,Local authority maintained schools,Primary,Does not apply,4.9,Outstanding,165,0.5,0.8,-0.6
850,115881,2053,850/2053,8502053,Droxford Junior School,Winchester,2018-2019,Local authority maintained schools,Primary,Does not apply,4.9,Outstanding,171,1.9,-0.4,0.3
850,115883,2055,850/2055,8502055,Wildground Junior School,New Forest,2016-2017,Local authority maintained schools,Primary,Does not apply,32.3,Good,171,-0.5,0.2,-0.4
850,115883,2055,850/2055,8502055,Wildground Junior School,New Forest,2017-2018,Local authority maintained schools,Primary,Does not apply,32.3,Good,196,-0.2,-0.6,-0.5
850,115883,2055,850/2055,8502055,Wildground Junior School,New Forest,2018-2019,Local authority maintained schools,Primary,Does not apply,32.3,Good,210,-3.2,-1.5,-1.8
850,115884,2056,850/2056,8502056,Fryern Junior School,Eastleigh,2016-2017,Local authority maintained schools,Primary,Does not apply,14.3,Good,229,-1.4,-1.1,-2.6
850,115884,2056,850/2056,8502056,Fryern Junior School,Eastleigh,2017-2018,Local authority maintained schools,Primary,Does not apply,14.3,Good,236,-2.4,1,-1.9
850,115884,2056,850/2056,8502056,Fryern Junior School,Eastleigh,2018-2019,Local authority maintained schools,Primary,Does not apply,14.3,Good,266,-3.2,-1.3,-4.1
850,115886,2061,850/2061,8502061,The Crescent Primary School,Eastleigh,2016-2017,Local authority maintained schools,Primary,Does not apply,15.6,Good,530,-3.7,0.1,-2
850,115886,2061,850/2061,8502061,The Crescent Primary School,Eastleigh,2017-2018,Local authority maintained schools,Primary,Does not apply,15.6,Good,566,0.3,2.5,-0.6
850,115886,2061,850/2061,8502061,The Crescent Primary School,Eastleigh,2018-2019,Local authority maintained schools,Primary,Does not apply,15.6,Good,597,-1.4,0.4,0
850,115887,2062,850/2062,8502062,Cherbourg Primary School,Eastleigh,2016-2017,Local authority maintained schools,Primary,Does not apply,26.7,Good,392,1.3,-1.2,-2.2
850,115887,2062,850/2062,8502062,Cherbourg Primary School,Eastleigh,2017-2018,Local authority maintained schools,Primary,Does not apply,26.7,Good,401,4.3,4.1,3.8
850,115887,2062,850/2062,8502062,Cherbourg Primary School,Eastleigh,2018-2019,Local authority maintained schools,Primary,Does not apply,26.7,Good,401,0.9,-0.8,-1.9
850,115889,2067,850/2067,8502067,Wallisdean Junior School,Fareham,2016-2017,Local authority maintained schools,Primary,Does not apply,21.9,Requires improvement,213,-6.9,-3.8,-8.2
850,115889,2067,850/2067,8502067,Wallisdean Junior School,Fareham,2017-2018,Local authority maintained schools,Primary,Does not apply,21.9,Requires improvement,224,-5,-1.4,-5.3
850,115889,2067,850/2067,8502067,Wallisdean Junior School,Fareham,2018-2019,Local authority maintained schools,Primary,Does not apply,21.9,Requires improvement,219,-2.7,-1.9,-5.3
850,115890,2069,850/2069,8502069,Uplands Primary School,Fareham,2016-2017,Local authority maintained schools,Primary,Does not apply,4.5,Good,301,1.2,3,2.1
850,115890,2069,850/2069,8502069,Uplands Primary School,Fareham,2017-2018,Local authority maintained schools,Primary,Does not apply,4.5,Good,308,2.8,1.8,1.7
850,115890,2069,850/2069,8502069,Uplands Primary School,Fareham,2018-2019,Local authority maintained schools,Primary,Does not apply,4.5,Good,313,2.3,1.7,1.6
850,115892,2074,850/2074,8502074,Redlands Primary School,Fareham,2016-2017,Local authority maintained schools,Primary,Does not apply,11.1,Outstanding,314,4.8,1.6,2.8
850,115892,2074,850/2074,8502074,Redlands Primary School,Fareham,2017-2018,Local authority maintained schools,Primary,Does not apply,11.1,Outstanding,310,2.3,-1,2.8
850,115892,2074,850/2074,8502074,Redlands Primary School,Fareham,2018-2019,Local authority maintained schools,Primary,Does not apply,11.1,Outstanding,316,4.8,3,3.9
850,115897,2085,850/2085,8502085,Grateley Primary School,Test Valley,2016-2017,Local authority maintained schools,Primary,Does not apply,6.4,Good,87,-3.1,1.3,-6
850,115897,2085,850/2085,8502085,Grateley Primary School,Test Valley,2017-2018,Local authority maintained schools,Primary,Does not apply,6.4,Good,98,-1.6,1.9,-3.7
850,115897,2085,850/2085,8502085,Grateley Primary School,Test Valley,2018-2019,Local authority maintained schools,Primary,Does not apply,6.4,Good,93,-2,-0.8,-2.7
850,115898,2086,850/2086,8502086,Greatham Primary School,East Hampshire,2016-2017,Local authority maintained schools,Primary,Does not apply,5,Good,189,-1.5,-7.8,-1.7
850,115898,2086,850/2086,8502086,Greatham Primary School,East Hampshire,2017-2018,Local authority maintained schools,Primary,Does not apply,5,Good,181,1.4,1.5,1.2
850,115898,2086,850/2086,8502086,Greatham Primary School,East Hampshire,2018-2019,Local authority maintained schools,Primary,Does not apply,5,Good,159,0.7,-0.6,-0.1
850,115899,2089,850/2089,8502089,Waterside Primary School,New Forest,2016-2017,Local authority maintained schools,Primary,Does not apply,27.3,Good,201,-4.3,-2.5,-6.8
850,115899,2089,850/2089,8502089,Waterside Primary School,New Forest,2017-2018,Local authority maintained schools,Primary,Does not apply,27.3,Good,201,0,-2.9,0.2
850,115899,2089,850/2089,8502089,Waterside Primary School,New Forest,2018-2019,Local authority maintained schools,Primary,Does not apply,27.3,Good,195,-2.8,0,-2.7
850,115900,2090,850/2090,8502090,Hale Primary School,New Forest,2016-2017,Local authority maintained schools,Primary,Does not apply,7.1,Good,97,0.4,0.1,0.6
850,115900,2090,850/2090,8502090,Hale Primary School,New Forest,2017-2018,Local authority maintained schools,Primary,Does not apply,7.1,Good,96,0.6,-0.2,0
850,115900,2090,850/2090,8502090,Hale Primary School,New Forest,2018-2019,Local authority maintained schools,Primary,Does not apply,7.1,Good,101,1.8,-1.5,1.9
850,115901,2091,850/2091,8502091,Hamble Primary School,Eastleigh,2016-2017,Local authority maintained schools,Primary,Does not apply,10.8,Good,319,3.6,1.6,1.7
850,115901,2091,850/2091,8502091,Hamble Primary School,Eastleigh,2017-2018,Local authority maintained schools,Primary,Does not apply,10.8,Good,324,3.8,2.3,2.3
850,115901,2091,850/2091,8502091,Hamble Primary School,Eastleigh,2018-2019,Local authority maintained schools,Primary,Does not apply,10.8,Good,334,1.8,1.4,1.2
